YEAR,MONTH,DAY,TOTAL
2013,Jul,30,68.01
2013,Jul,31,68.78
2013,Aug,1,69.49
2013,Aug,2,62.9
2013,Aug,3,64
2013,Aug,4,65.17
2013,Aug,5,66.08
2013,Aug,6,66.74
2013,Aug,7,57.78
2013,Aug,8,58.68
2013,Aug,9,59.38
2013,Aug,10,59.94
2013,Aug,11,61.04
2013,Aug,12,62.05
2013,Aug,13,62.82
2013,Aug,14,63.65
2013,Aug,15,60.65
2013,Aug,16,61.47
2013,Aug,17,62.18
2013,Aug,18,63.11
2013,Aug,19,63.96
2013,Aug,20,65.07
2013,Aug,21,65.62
2013,Aug,22,66.45
2013,Aug,23,67.32
2013,Aug,24,68.29
2013,Aug,25,68.92
2013,Aug,26,70.08
2013,Aug,27,70.76
2013,Aug,28,71.43
2013,Aug,29,72.04
2013,Aug,30,72.82
2013,Aug,31,73.2
2013,Sep,1,73.92
2013,Sep,2,74.62
2013,Sep,3,70.2
2013,Sep,4,69.73
2013,Sep,5,70.38
2013,Sep,6,71.09
2013,Sep,7,71.87
2013,Sep,8,72.13
2013,Sep,9,73.17
2013,Sep,10,73.06
2013,Sep,11,73.67
2013,Sep,12,70.63
2013,Sep,13,71.34
2013,Sep,14,66.01
2013,Sep,15,66.29
2013,Sep,16,66.71
2013,Sep,17,67.49
2013,Sep,18,57.51
2013,Sep,19,58.21
2013,Sep,20,58.7
2013,Sep,21,58.3
2013,Sep,22,59.18
2013,Sep,23,58.6
2013,Sep,24,59.58
2013,Sep,25,60.25
2013,Sep,26,60.75
2013,Sep,27,61.44
2013,Sep,28,62.18
2013,Sep,29,60.46
2013,Sep,30,61.1
2013,Oct,1,61.81
2013,Oct,2,62.1
2013,Oct,3,62.1
2013,Oct,4,63.39
2013,Oct,5,64.58
2013,Oct,6,64.57
2013,Oct,7,65.21
2013,Oct,8,65.94
2013,Oct,9,67.29
2013,Oct,10,67.99
2013,Oct,11,68.77
2013,Oct,12,69.34
2013,Oct,13,70.11
2013,Oct,14,70.82
2013,Oct,15,61.65
2013,Oct,16,62.46
2013,Oct,17,64.18
2013,Oct,18,65.36
2013,Oct,19,66.28
2013,Oct,20,67.09
2013,Oct,21,68.23
2013,Oct,22,68.94
2013,Oct,23,65.91
2013,Oct,24,64.65
2013,Oct,25,65.29
2013,Oct,26,60.47
2013,Oct,27,57.63
2013,Oct,28,58.46
2013,Oct,29,51.95
2013,Oct,30,52.86
